tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
75209,132840,True,Thu Nov 30 05:03:49 +0000 2017,Why does Safari on my iPhone literally never work #appleprobs @AppleSupport,75208,
75210,O2,False,Thu Nov 30 11:38:15 +0000 2017,@132841 😞 Please check the handy tips in the link and let us know how you get on Candice. https://t.co/fhrNNrbwj2,75211,75212.0
75211,132841,True,Thu Nov 30 13:19:57 +0000 2017,"@O2 Thank you for this. Yes a phone mast isn’t working nearby it says. Haven’t been able to use my phone for work and it is affecting me, are you able to do anything for me?",75213,75210.0
75213,O2,False,Thu Nov 30 14:26:16 +0000 2017,@132841 Can you DM us over the full postcode of the affected area? We'd like to check this out for you. https://t.co/5pyLDJBC6r,,75211.0
75212,132841,True,Thu Nov 30 10:41:10 +0000 2017,"@o2 could you help please, I’ve had no service for the past 4 days, so can’t phone you for help but it’s getting silly now. My son’s at school and if they need to contact me on my phone they won’t be able to get hold of me.",75210,
75214,O2,False,Thu Nov 30 11:34:02 +0000 2017,@132842 This makes us 😢 Chris. We'll always make you the best possible offer for the phone you're after. Did you speak with our upgrades team directly?,75215,75216.0
75215,132842,True,Thu Nov 30 11:35:24 +0000 2017,"@O2 tried a few times and selected upgrades number, litterally got a “we cant do anything” ?? surely old customers need looking after??",75217,75214.0
75217,O2,False,Thu Nov 30 12:29:34 +0000 2017,@132842 What phone are you after Chris? Is this a personal account &amp; are you the account holder? DM us. https://t.co/Xe5i4kfJ97,,75215.0
75216,132842,True,Thu Nov 30 10:36:28 +0000 2017,"@O2 Looks like am finally leaving o2😔after being with them since Genie and being a gold customer, they are unable to give me wat i want and compete with rival networks?? loyalty means nothing to them.. #pointless #goodbye",75214,
75218,O2,False,Thu Nov 30 11:27:24 +0000 2017,@132843 We're glad we were able to help with your complaint Paul 😌,,75219.0
75219,132843,True,Thu Nov 30 10:28:27 +0000 2017,"Just had a great chat with @O2 customer complaints team, perfect service after a little bad service. Understanding and positive attitudes make everything better",75218,
75220,O2,False,Thu Nov 30 11:25:20 +0000 2017,@132844 😢 What did the text that you received say Paul? Did you also get an automated email to say your complaint had been received? DM us more. https://t.co/5pyLDJBC6r,75221,75222.0
75221,132844,True,Thu Nov 30 11:40:33 +0000 2017,@O2 Thanks for contacting O2 Complaint Review Service. We will be in touch within 5 working days. Check https://t.co/CKkTmkl53H for our complaints process.,75223,75220.0
75223,O2,False,Thu Nov 30 12:06:19 +0000 2017,@132844 Thanks for confirming. This is an automated message to say that we've received your complaint and to let you know when you can expect us to be in contact. We're sorry for any inconvenience this may have caused.,75224,75221.0
75224,132844,True,Thu Nov 30 12:11:26 +0000 2017,"@O2 Yes I get what it is but in light of last E mail from o2 telling me my preferences have been updated, seems o2 cannot control use of customers information.",75225,75223.0
75225,O2,False,Thu Nov 30 13:01:47 +0000 2017,@132844 We understand your frustration Paul. The complaints team will contact you asap.,,75224.0
75222,132844,True,Thu Nov 30 10:25:17 +0000 2017,"The irony, i complain to @O2  via E mail about them texting me when i have opted out and guess how they reply ? 
Via Text. 😒",75220,
75226,O2,False,Thu Nov 30 11:22:53 +0000 2017,"@132845 Hi Jenny, which phone are you currently using?",75227,75228.0
75227,132845,True,Thu Nov 30 11:33:24 +0000 2017,@O2 iPhone 5s,75229,75226.0
75229,O2,False,Thu Nov 30 12:41:35 +0000 2017,@132845 We're continuing to add to our list of handsets that are compatible with Wifi &amp; 4G Calling Jenny. Yours isn't supported right now but keep an eye out for updates - https://t.co/bD36MjW49i. Third party apps can offer similar calling/messaging over Wifi functions.,75230,75227.0
75230,132845,True,Thu Nov 30 12:43:50 +0000 2017,"@O2 Yes, exactly, hence I will be leaving. No signal at home, cannot call or text. Yes, there are apps but these often rely on others who you wish to contact to have the same app. Have been with o2 for a number of years so disappointing that there is nothing that you can offer.",,75229.0
75228,132845,True,Thu Nov 30 11:18:44 +0000 2017,Looks like I will be leaving @O2 when my contract is up in Feb. Closing TU means my phone is now useless at home.,75226,
75231,O2,False,Thu Nov 30 11:17:34 +0000 2017,@132846 Hi Parris 👋 You can find your nearest available location when you go onto the offer through the app. You can find other stores by clicking on 'Other nearby locations'. A list of exclusions can also be found in the terms of the offer. We hope this helps.,,75232.0
75232,132846,True,Thu Nov 30 10:15:59 +0000 2017,"@O2 
Hi there,
Where can I see a list of eligible WHSmith stores for #priority",75231,
75233,O2,False,Thu Nov 30 11:17:00 +0000 2017,@132847 🙋 You know it Danny. Give us a shout if we can help with anything in the future.,,75234.0
75234,132847,True,Thu Nov 30 10:17:19 +0000 2017,@118101 😁 sorry I’m with @O2,75233,75235.0
75235,118101,True,Thu Nov 30 10:16:09 +0000 2017,@132847 Great stuff Danny and don't forget you can keep tack of usage here https://t.co/k1HpwYVWdv :) -Mark,75234,75236.0
75236,132847,True,Thu Nov 30 10:12:41 +0000 2017,@132848 @118101 20GB is enough for me,75235,75237.0
75237,132848,True,Thu Nov 30 10:10:54 +0000 2017,Crazy that @118101 offer 100gb data packages! And unlike Three they don’t restrict your tethering data. You can use the whole lot however you want! Just as it should be! What data package do you have ? https://t.co/LIMGsGc8e7,"75236,75238",
75239,O2,False,Thu Nov 30 11:14:24 +0000 2017,@132849 😢 Did the steps help at all Casey? Can you DM us the full postcode of the affected area so we can check this out? We'd like to help. https://t.co/5pyLDJBC6r,75240,75241.0
75240,132849,True,Thu Nov 30 12:11:01 +0000 2017,@O2 Iv sent you a DM,,75239.0
75241,132849,True,Thu Nov 30 10:15:40 +0000 2017,@O2 day 2 got no or hardly getting any signal whats going on @O2,75239,
75242,O2,False,Thu Nov 30 11:10:51 +0000 2017,@132850 Happy days Lisa 😃 Keep an eye out for more great offers!,75243,75244.0
75243,132850,True,Thu Nov 30 11:13:30 +0000 2017,@O2 Oh I will. Already got my Christmas cards last week and my Nero's cake and hot choc 😋,75245,75242.0
75245,O2,False,Thu Nov 30 12:12:50 +0000 2017,@132850 👌😃,,75243.0
75244,132850,True,Thu Nov 30 10:14:26 +0000 2017,@O2 Thanks so much for this little bundle that only cost me £4. #AmazingDeals #Priority https://t.co/KaPBmAIKND,75242,
75246,O2,False,Thu Nov 30 11:10:19 +0000 2017,"@132851 Hi Laura, that's odd ☹ What's been happening when you go to connect to O2Wifi? #O2Guru",75247,75248.0
75247,132851,True,Thu Nov 30 11:17:33 +0000 2017,@O2 It asks for my phone number then I get a text saying I'm not signed up for WiFi which I am. I contacted O2 online last week they said there were tech issues,75249,75246.0
75249,O2,False,Thu Nov 30 12:01:05 +0000 2017,"@132851 Thanks for the info Laura 😃 So we can look into this further, DM us your details .#O2Guru 
https://t.co/5pyLDJBC6r",,75247.0
75248,132851,True,Thu Nov 30 09:02:42 +0000 2017,@O2 when will the @TfL WiFi access glitch be fixed it has been broken for at least 3 weeks,75246,
75250,O2,False,Thu Nov 30 11:06:22 +0000 2017,@132852 😱 Do you have the latest version of the app installed Hannah? The offer is still on there when we've checked it 👍,,75251.0
75251,132852,True,Thu Nov 30 09:43:52 +0000 2017,@O2 what happened to o2 priority @132853 £5 main deal?!! A group of 10 of us excited to go for pay-day lunch and it’s gone! Gutted 💔😩,75250,
75252,O2,False,Thu Nov 30 10:59:06 +0000 2017,"@132854 😧 Is this for a personal account, Stephen? Are you the account holder? DM us more info. https://t.co/5pyLDJBC6r",,75253.0
75253,132854,True,Thu Nov 30 09:54:19 +0000 2017,"@O2 Phone has been bricked and no chat options on the website other than this, need barring removed from my phone, no access to landline, HELP",75252,
75254,idea_cares,False,Thu Nov 30 11:36:00 +0000 2017,"@132855 As checked, though your bill is not yet generated, so we cant check the details. However we request you that once bill got generated, pls let us know so that we can assist you better on the same.",,75255.0
75255,132855,True,Thu Nov 30 07:07:58 +0000 2017,"@idea_cares Thanks. I am in US. So, please contact me over email or let me know I can share US number.",75254,75256.0
75256,idea_cares,False,Thu Nov 30 07:06:29 +0000 2017,"@132855 We have your contact details. We will get back to you shortly. Regards,Pradnya https://t.co/LBfZgLCSfr",75255,75257.0
75257,132855,True,Thu Nov 30 06:47:03 +0000 2017,@idea_cares See plan change on midnight 15. It is system generated. You are indirectly telling your customers liers? https://t.co/bFuJ8fX0S1,"75258,75256",75259.0
75259,idea_cares,False,Thu Nov 30 06:33:29 +0000 2017,"@132855 We are sorry for the inconvenience caused to you. As checked and informed earlier you have given the request for plan change after bill generation. hence you have been charged for whole month.

Regards,
Arti","75257,75260",75261.0
75261,132855,True,Thu Nov 30 05:08:23 +0000 2017,@idea_cares I called customer care on 12 and they asked me to change plan on billing date. That is why I had given post dated request on 12. I didn't give request on 19.,"75262,75259",75263.0
75263,idea_cares,False,Thu Nov 30 05:06:26 +0000 2017,"@132855 Sorry for trouble caused to you. We want to inform you that you have given the request of plan change after your bill generation date and your previous plan is of monthly basis (ultimate) plan due to which you have been charged for a whole month.
Rgds,
Neha L",75261,75264.0
75264,132855,True,Thu Nov 30 04:54:02 +0000 2017,"@idea_cares I changed the plan only to keep sim active. I called customer care, sent email (case closed). I am being told it could be data. I didn't use data and followed directions when I changed the plan.",75263,75265.0
75265,idea_cares,False,Thu Nov 30 04:39:00 +0000 2017,"@132855 Sorry for trouble caused to you, as checked there is no such extra charges applied to you. If there is other concern please let us know.

Regards,
Neha L","75264,75266",75267.0
75267,132855,True,Thu Nov 30 04:24:43 +0000 2017,@116331  E1-103182216565 It has just 1 week in US and I get a shock when I see current bill amount. Check and revert before I ...,75265,
75268,idea_cares,False,Thu Nov 30 11:21:26 +0000 2017,"@132856 Sorry for the trouble caused. We don't want to lose a valuable customer like you.We request you to please elaborate your exact concern, so that we can solve the issue.

Regards,
jyoti.",75269,75270.0
75269,132856,True,Thu Nov 30 12:24:13 +0000 2017,"@idea_cares This thing never gets cancelled or no use clicking on OK button also, this gets irritating while dialing any no or typing ny msg, this is not problem of my mobile as I alrdy shwd in service center https://t.co/2HbDA9IKoK",75271,75268.0
75271,idea_cares,False,Thu Nov 30 13:10:33 +0000 2017,"@132856 Sorry for the trouble caused, we request you to please dial *121*46#  or type STOP and send it to 593350 from your Idea number to stop the flash messages.

Regards,
jyoti.",75272,75269.0
75272,132856,True,Fri Dec 01 18:51:36 +0000 2017,"@idea_cares Problem is still not solved mam, this is really getting out of mind, do the needful @116590 shud look into the matter about people not getting harassed now n then with such irritating ""flash"" messages",75273,75271.0
75273,idea_cares,False,Fri Dec 01 20:43:30 +0000 2017,"@132856 Apologies for the trouble. Kindly DM us your Idea number &amp; alternate number to assist you further.
Regards,
Darshan. https://t.co/LBfZgLCSfr",,75272.0
75270,132856,True,Thu Nov 30 11:16:42 +0000 2017,"THANK YOU @idea_cares @1936 for your valuable services for 3 years now as I am fed up with ur services I have thought to move to @116329 tomorrow, ur company charges for evrything which is invaluable and irritating",75268,
75274,idea_cares,False,Thu Nov 30 11:17:27 +0000 2017,"@132857 Sorry for the trouble caused, we don't want to lose a valuable customer like you, we request you to please share the exact reason why do you want to port out.

Regards,
Jyoti.",,75275.0
75275,132857,True,Thu Nov 30 11:02:58 +0000 2017,@idea_cares @132858 I am not able to generate port code as i called compny they told me that cmpny having fault for generating messgs since 15 days..request you dont to stop us by this manner,"75274,75276",75277.0
75277,idea_cares,False,Thu Nov 30 11:00:07 +0000 2017,"@132858 As per our recent telecon, your concern has been initiated by us under ref. no.1-159113959607 &amp; you shall be updated by 05/12/2017 05:29:00 PM.

Regards,
Richard.",75275,75278.0
75278,132858,True,Thu Nov 30 04:12:22 +0000 2017,@idea_cares #9911672814,"75277,75279",75280.0
75280,idea_cares,False,Wed Nov 29 20:15:00 +0000 2017,"@132858 Apologies for the trouble. We understand how frustrating this can be, give us one more opportunity  to address your issue. Please DM us your alternate number as well to get in touch with you.
Regards,
Darshan. https://t.co/LBfZgLCSfr",75278,
75281,idea_cares,False,Thu Nov 30 11:04:27 +0000 2017,"@132859 Apologies for the trouble. Please DM us your Idea contact number and alternate number for further assistance. Regards, Amit https://t.co/LBfZgLCSfr",75282,75283.0
75282,132859,True,Thu Nov 30 11:06:04 +0000 2017,@idea_cares I have sent it. Please check.,75284,75281.0
75284,132859,True,Thu Nov 30 17:28:36 +0000 2017,"@idea_cares Still, i have not received any call, I have also spoken to your customer care but now they are asking me to email them and they will resolve it later on but when? You bill us and ask us to pay on time then why don't you give us on time service??",75285,75282.0
75285,132859,True,Thu Nov 30 17:29:30 +0000 2017,"@idea_cares I don't need any apology, kindly give me a solution.",75286,75284.0
75286,idea_cares,False,Fri Dec 01 07:11:25 +0000 2017,"@132859 As per our telecon,your concern for internet has been initiated under ref. no. C1-103262618140 &amp; you shall be updated on the same shortly.

Regards,
Jagjeet https://t.co/LBfZgLCSfr",,75285.0
75283,132859,True,Thu Nov 30 10:59:45 +0000 2017,@idea_cares my net is not working from last few weeks on my idea number. Please help...,75281,
75276,idea_cares,False,Sat Dec 02 11:17:20 +0000 2017,"@132857 We're awaiting for your response to resolve ur issue. Pls provide the same within next 24 hrs. Rgds, Idea Care",75287,75275.0
75287,132857,True,Sun Dec 03 06:54:09 +0000 2017,@idea_cares No improvment in ur service.......port messg not going,75288,75276.0
75288,idea_cares,False,Sun Dec 03 08:32:29 +0000 2017,"@132857 Sorry for the the trouble caused, we request you to please raise a request again for port out. If the problem persist we request you to please write us back.

Regards,
jyoti.",,75287.0
75289,British_Airways,False,Thu Nov 30 11:42:03 +0000 2017,@132860 Hi Kieron. I'm sorry to hear there wasn't enough stock on your flight this morning. I'll ensure your comments and feedback are passed to our Catering team too. ^Kev,75290,75291.0
75290,121165,True,Thu Nov 30 14:05:52 +0000 2017,"@British_Airways @132860 Don’t hold your breathe they won’t do nothing in regards to flight stock, I flew in August and it’s still not resolved or was looked into  @British_Airways",,75289.0
75291,132860,True,Thu Nov 30 09:48:19 +0000 2017,"@British_Airways 0800 OTP-LHR BA885 with only two bacon butties for 150 pax plane? That's absurd, even at over £4:00.",75289,
75292,British_Airways,False,Thu Nov 30 11:41:17 +0000 2017,@132861 Hi Julie. We’re in the process of refurbishing our fleet and it can take a little while to complete on all our aircraft. We do hope to see you on an updated flight soon!^Corry,,75293.0
75293,132861,True,Thu Nov 30 09:48:40 +0000 2017,Awks when your phone screen is pretty much the same size as the TV screen on a @British_Airways flight... https://t.co/D0Y61XMwKu,75292,
75294,British_Airways,False,Thu Nov 30 11:40:02 +0000 2017,@132862 Hi Garfield. You'd need to make two bookings for this type of trip. You can do both of these types of bookings online. Hope this helps. ^Kev,75295,75296.0
75295,132862,True,Sat Dec 02 09:51:20 +0000 2017,@British_Airways Thanks Kevin. Booking another person on a separate booking should be simple but doesn't work for me. Falls over when entering passenger details. Seems like passenger must be on a Business Loyalty program. No option not to be. Can't get beyond that. Frustrating.,75297,75294.0
75297,British_Airways,False,Sat Dec 02 13:59:35 +0000 2017,"@132862 Hi Garfield, I'm sorry to hear this. You would need to speak to our Sales team to book new flights. ^Tom",,75295.0
75296,132862,True,Thu Nov 30 09:47:50 +0000 2017,@British_Airways wish I could online book flight for group of four but one person hand luggage only. Calling the landline? Tried it. Tedious holding process.,75294,
75298,British_Airways,False,Thu Nov 30 11:32:24 +0000 2017,@132863 Hi Matthew. I'm sorry to hear your flights have been cancelled and unfortunately we're unable to speed up the refund process. Please accept my apologies for the inconvenience and disappointment this has caused you. ^Kev,75299,75300.0
75299,132863,True,Thu Nov 30 12:21:44 +0000 2017,@British_Airways Talk to the hand Kev ✋,,75298.0
75300,132863,True,Thu Nov 30 09:45:33 +0000 2017,Got super organised and booked flights with @British_Airways for a wedding in Spain next year. They've now cancelled the flights and I've got to pay nearly double to fly with EasyJet. LIVID.,"75301,75302,75298,75303",
75304,British_Airways,False,Thu Nov 30 11:32:04 +0000 2017,"@132864 This is disappointing to see, Dave. We’re sorry you were kept waiting and hope you’re on your way soon. We've passed on your comments to our Airport Manager who'll investigate what went wrong. Please accept our sincere apologies.^Corry",,75305.0
75305,132864,True,Thu Nov 30 09:24:14 +0000 2017,Massive queues at the @British_Airways desk in Krakow and no one working after flight delayed a day and online checkin broken #ba873 #fail https://t.co/sy9sfMN3jk,75304,
75306,British_Airways,False,Thu Nov 30 11:25:35 +0000 2017,"@132865 Hi Roberto. I'm sincerely sorry to hear you're still awaiting a reply from our Customer Relations team. So we can take a look at this for you, please can you DM us your full name, email address, booking reference and Customer Relations reference number too? ^Kev",,75307.0
75307,132865,True,Thu Nov 30 09:39:43 +0000 2017,@British_Airways When is anyone going to get back to me? It's now 3 weeks and your customer service is just ignoring hoping I'll go away!?,75306,75308.0
75308,132865,True,Wed Nov 22 15:33:42 +0000 2017,@British_Airways Still nothing back from your customer service team. Do you hope people forget you ruined their holiday?,"75307,75309",75310.0
75310,British_Airways,False,Sat Nov 18 13:07:23 +0000 2017,"@132865 Hi Roberto, we're sorry for the inconvenience caused to your journey. Our Customer Relations team will reply to you as soon as possible. ^Danielle.",75308,75311.0
75311,132865,True,Sat Nov 18 12:02:47 +0000 2017,"@British_Airways after overbooking my flight, sending me to Phoenix and losing my luggage you don't even have the decency to return my email. Customer service at its worst",75310,
75312,British_Airways,False,Thu Nov 30 11:25:01 +0000 2017,"@132866 We’re sorry you’ve been kept waiting, Damien. Delays can often happen last minute and while we always try to avoid delaying a flight, it’s not always possible. We need the aircraft to be ready to go at a moment’s notice, especially when there has been a delay.^Corry",,75313.0
75313,132866,True,Thu Nov 30 09:19:55 +0000 2017,"@British_Airways hi, why do you load us onto a flight knowing full well it is delayed and we will need to sit on a stuffy hot plane for 40 minutes!? #lcytoedi",75312,
75314,British_Airways,False,Thu Nov 30 11:17:03 +0000 2017,@132867 Hi. Thanks for your feedback about this. We'll certainly pass on your comments to our Customer Experience team. ^Kev,,75315.0
75315,132867,True,Thu Nov 30 09:38:25 +0000 2017,@British_Airways what is the point of priority boarding if you are only first on... And thus last off... A bloody bus....,75314,
75316,British_Airways,False,Thu Nov 30 11:14:08 +0000 2017,"@132868 What a lovely way to start your trip, Jenna. We hope you have a great flight and enjoy Verona!^Corry",,75317.0
75317,132868,True,Thu Nov 30 09:15:01 +0000 2017,Relaxing pre-flight @British_Airways lounge experience at @121310 before our flight to Verona. Finally boarded and will be sipping mulled wine in no time..!✈️🍷 https://t.co/nKMNXqVm38,75316,
75318,Ask_Spectrum,False,Thu Nov 30 11:43:36 +0000 2017,"@132869 BASIC STREAM PACKAGE
NBC, CBS, ABC, FOX, etc. Public access channels, educational access channels, and government access channels

STREAM PLUS
A&amp;E, FreeForm, National Geographic, AMC, FX, Oxygen, Animal Planet, Hallmark, Spectrum News (where carried) Br... https://t.co/gZ8p9XUyw5",,75319.0
75319,132869,True,Thu Nov 30 11:38:50 +0000 2017,"@115955 why am i finding it so hard to locate information for ""TV Stream"",  a new service i've just read about but can't locate on ur website?...  https://t.co/8tS6xqB4Vg (link from a 'livechat' session) doesn't seem to be working either! ugh","75318,75320",
75321,Ask_Spectrum,False,Thu Nov 30 11:35:47 +0000 2017,@132869 Good morning. Is there an issue that I can currently assist you with? ^MO,,75322.0
75322,132869,True,Thu Nov 30 11:30:26 +0000 2017,@115955 initial question should be included in the transcript of any live chat,75321,
75323,Ask_Spectrum,False,Thu Nov 30 11:27:08 +0000 2017,@132870 I unfortunately do not have an estimate time of repair. Engineers are working to restore services. ^SS,,75324.0
75324,132870,True,Thu Nov 30 11:24:35 +0000 2017,@Ask_Spectrum Please don't call. I just want to know when I can get internet again,75323,75325.0
75325,Ask_Spectrum,False,Thu Nov 30 11:21:46 +0000 2017,@132870 I apologize for the inconvenience; we are aware of an issue in that area and working to resolve it. I have requested our automated system give you a call when the area issue is resolved. There is no estimate time of repair available. I do not have any f... https://t.co/6e18WGBoPt,75324,75326.0
75326,132870,True,Thu Nov 30 11:17:42 +0000 2017,"@ask_spectrum when can I expect service in Madison, WI again?",75325,
75327,Ask_Spectrum,False,Thu Nov 30 11:25:34 +0000 2017,@132871 Good morning! I would really like to help with your services. When you can plz DM your phone number and address to chat? ^DT,,75328.0
75328,132871,True,Thu Nov 30 11:18:22 +0000 2017,@Ask_Spectrum well well well. Here we are again. Why is service out this time?,"75327,75329",
75330,Ask_Spectrum,False,Thu Nov 30 11:17:51 +0000 2017,@132872 Good morning! I would really like to help with your Internet services. When you can plz DM your phone number and address to chat? ^DT,75331,75332.0
75331,132873,True,Thu Nov 30 18:52:30 +0000 2017,@Ask_Spectrum @132872 Let's start with a refund and shipping address to return equipment. Thank you!,"75333,75334",75330.0
75333,132872,True,Thu Nov 30 19:58:29 +0000 2017,@132873 @Ask_Spectrum That would be nice lol,75335,75331.0
75335,Ask_Spectrum,False,Thu Nov 30 20:01:03 +0000 2017,"@132872 Hello, is there something I can help you with?  Please Follow/DM us your account information including the full address and phone number so that I may assist you. ^JF",,75333.0
75334,Ask_Spectrum,False,Thu Nov 30 19:12:14 +0000 2017,"@132873 Good morning Anthony, is there something I can help you with?  Please Follow/DM us your account information including the full address and phone number so that I may assist you. ^JF",,75331.0
75332,132872,True,Thu Nov 30 11:13:41 +0000 2017,@132873 @115955 Lol spectrum is the worst my router just goes out when ever it feels like it it’s my 3rd one lol,75330,75336.0
75336,132873,True,Thu Nov 30 05:15:03 +0000 2017,I've had my new internet for less than 2 weeks and I've already had 3 technician visits and yet It still takes nearly 10 seconds to load a web page and consistently drops out... by far the worst experience I've had in this space @115955,75332,
75337,ArgosHelpers,False,Thu Nov 30 11:43:22 +0000 2017,@132874 Hello Neil could you please DM us the order number of this so i can look in to this for you  --Sam,75338,75339.0
75338,132874,True,Thu Nov 30 13:23:46 +0000 2017,@ArgosHelpers Will do Sam.,,75337.0
